"baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
45.7694782526342,8.9657631601177,1.24042136977882,7.22799798403699,4.90166001241765e-13,9.89850342275085e-11,"ENSMUSG00000086773|Gm16192"
45.2158652541861,3.60461632049922,0.605093621823466,5.95712165935019,2.56719137090067e-09,2.54768071648183e-07,"ENSMUSG00000054545|Ugt1a6a"
149.300015378641,2.89708765258578,1.0467526063879,2.76769088981105,0.0056454973098694,0.0497692141017776,"ENSMUSG00000070392|Gm20634"
171.130988434813,2.10528220658984,0.290158264921495,7.25563411801983,3.99784417010632e-13,8.46714142710202e-11,"ENSMUSG00000002831|Plin4"
75.3670759166432,2.07732918364193,0.363282475392818,5.71822018498334,1.07645598856548e-08,9.44182381485696e-07,"ENSMUSG00000054204|Alkal2"
26.2331017243547,2.01644792419659,0.61970821768281,3.25386668541596,0.00113845692539884,0.0156050366404117,"ENSMUSG00000109523|Gdf1"
1517.97699125224,1.93365702449325,0.117058727925156,16.5186915898281,2.69174325775329e-61,4.67475051574014e-57,"ENSMUSG00000037652|Phc3"
37.2355322264757,1.84478359663921,0.508159542478856,3.63032363347968,0.000283066070470425,0.00548544576314918,"ENSMUSG00000072919|Noxred1"
1219.31232338847,1.69641729345147,0.124545819598818,13.6208288557247,3.01130566244875e-42,1.72573016213741e-38,"ENSMUSG00000067578|Cbln4"
315.425589633976,1.67227504535859,0.19596683119106,8.53345964311776,1.42035015092673e-17,6.016395383206e-15,"ENSMUSG00000023232|Serinc2"
22.6891861338672,1.66910421546834,0.56814834590167,2.93779648837914,0.00330553932901481,0.0337888767080637,"ENSMUSG00000030623|Prss23os"
64.9858868598196,1.65418657892171,0.371051135760325,4.45810946119893,8.26856779211675e-06,0.000320536198316276,"ENSMUSG00000014782|Plekhg4"
105.338472059511,1.62275612022297,0.295665206597092,5.48849199707941,4.0537963336362e-08,3.02155712129871e-06,"ENSMUSG00000021675|F2rl2"
24.0656640964201,1.60528625427829,0.537448673659499,2.98686429598544,0.00281854804908095,0.0301786214355048,"ENSMUSG00000073209|Klf14"
33.6384703892099,1.55549362797389,0.486497910428449,3.19732848719536,0.00138706870899952,0.0180929657948817,"ENSMUSG00000035004|Igsf6"
1315.70970741751,1.53172138474816,0.126453296330177,12.1129415301974,9.02003288049746e-34,1.74056567817333e-30,"ENSMUSG00000023067|Cdkn1a"
75.444853365626,1.52341743190121,0.480106235166131,3.17308403914825,0.0015082885871672,0.0190090333043053,"ENSMUSG00000050534|Htr5b"
38.9840464674168,1.52197316288537,0.448568292371863,3.3929575245672,0.000691423586762202,0.0107888170991008,"ENSMUSG00000075707|Dio3"
26.4576098453668,1.52125763695357,0.539889498783683,2.81772036755819,0.00483659121170014,0.0445946570694018,"ENSMUSG00000086534|Gm16758"
111.759731362101,1.49130539052527,0.295538019766217,5.04606950978745,4.5099139087752e-07,2.531886236572e-05,"ENSMUSG00000072620|Slfn2"
33.6350637754847,1.48999946358791,0.454850001593917,3.27580401971321,0.00105361646072208,0.0146855193205139,"ENSMUSG00000001131|Timp1"
48.1721677559257,1.48631286599001,0.461401957968674,3.22129726656018,0.00127611710849056,0.0171225147752084,"ENSMUSG00000042622|Maff"
919.886721599174,1.4835908347292,0.120721037475273,12.2894142210555,1.03251499455469e-34,2.56166970149019e-31,"ENSMUSG00000041324|Inhba"
726.608958350919,1.45397271769116,0.199343765616068,7.29379578637776,3.01342088728237e-13,6.62456715815607e-11,"ENSMUSG00000003545|Fosb"
189.737694684222,1.45129310144295,0.224224380320877,6.47250356703439,9.6392244757901e-11,1.28772624208497e-08,"ENSMUSG00000024014|Pim1"
502.376351267976,1.42144662425442,0.172162529664067,8.25642273628312,1.50103318145386e-16,5.43092567964776e-14,"ENSMUSG00000022769|Sdf2l1"
236.160915312217,1.41566365348006,0.18161946769704,7.79466910365317,6.4577478575707e-15,2.03912194622601e-12,"ENSMUSG00000004951|Hspb1"
55.6034180797355,1.38178254997796,0.392093976669305,3.5241106270382,0.000424906806838821,0.00742389991385293,"ENSMUSG00000035095|Fam167a"
380.571713774909,1.37952029859211,0.162724691076622,8.47763353837029,2.29820510334315e-17,9.50307810232392e-15,"ENSMUSG00000107272|Gm34583"
43.1269926154268,1.37656180204515,0.404293210137475,3.40486005584182,0.000661979684822192,0.0104419629303424,"ENSMUSG00000060981|H4c8"
77.0680660936463,1.37201602055553,0.312278072162314,4.39357144437088,1.11503521895721e-05,0.000405970998902095,"ENSMUSG00000031880|Rrad"
59.0533256170231,1.35837822356866,0.387138356866589,3.50876682580115,0.000450189404478614,0.00772573062013844,"ENSMUSG00000006445|Epha2"
74.4922214981108,1.34858189444846,0.445368584066408,3.02801307208362,0.00246167438535638,0.0273349738174451,"ENSMUSG00000028778|Hcrtr1"
48.3865490667046,1.32980185152846,0.389878406815991,3.41081175125476,0.000647697928508037,0.0102726665976247,"ENSMUSG00000078915|Hsp25-ps1"
39.0648102108949,1.3220531862394,0.449109379075982,2.94372205933319,0.00324291088149657,0.0333055193843589,"ENSMUSG00000050777|Tmem37"
49.8314791542137,1.32158728656293,0.373731566823079,3.53619389926609,0.000405936628413537,0.00718644385897849,"ENSMUSG00000087249|Gm16062"
6001.42614200785,1.31460462578102,0.0989205221377345,13.2895035061643,2.66339590996627e-40,9.25103935367684e-37,"ENSMUSG00000042216|Sgsm1"
285.09831603433,1.30112421106821,0.194905575864333,6.67566438414197,2.4611461873121e-11,3.71730064203334e-09,"ENSMUSG00000005124|Ccn4"
