gene_id,Sleep_mean,Stress_mean,log2FoldChange
ENSMUSG00000086773|Gm16192,0.0,92.33333333333333,6.54432051622381
ENSMUSG00000114067|Gm47065,11.666666666666666,338.6666666666667,4.745010822722229
ENSMUSG00000116069|Gm49510,28.333333333333332,343.3333333333333,3.553192920227762
ENSMUSG00000054545|Ugt1a6a,8.0,84.66666666666667,3.2507370470304098
ENSMUSG00000070392|Gm20634,35.666666666666664,301.3333333333333,3.043599027003863
ENSMUSG00000078954|Arhgap8,1.0,13.333333333333334,2.841302253980942
ENSMUSG00000091228|Gm20390,72.33333333333333,491.3333333333333,2.74709439724013
ENSMUSG00000090145|Ugt1a6b,4.666666666666667,36.666666666666664,2.7327161211648483
ENSMUSG00000110256|Gm45412,5.666666666666667,39.0,2.584962500721156
ENSMUSG00000027913|Crct1,1.6666666666666667,15.0,2.584962500721156
ENSMUSG00000026725|Tnn,3.0,21.666666666666668,2.5025003405291835
ENSMUSG00000093847|Eif1ad15,6.0,34.333333333333336,2.335603031784439
ENSMUSG00000040715|Rsc1a1,4.333333333333333,24.333333333333332,2.2479275134435857
ENSMUSG00000018486|Wnt9b,4.666666666666667,25.0,2.1979393776119087
ENSMUSG00000002831|Plin4,66.0,272.0,2.0266679504620804
ENSMUSG00000054204|Alkal2,30.0,122.0,1.9883181949523647
ENSMUSG00000006587|Snai3,7.0,30.333333333333332,1.969626350956481
ENSMUSG00000037652|Phc3,636.6666666666666,2433.3333333333335,1.9326523568885865
ENSMUSG00000109523|Gdf1,11.333333333333334,45.0,1.8990710911492192
ENSMUSG00000114340|Gm18132,3.6666666666666665,16.333333333333332,1.893084796083488
ENSMUSG00000105302|Gm19817,3.3333333333333335,14.666666666666666,1.854149133536545
ENSMUSG00000030353|Tead4,6.666666666666667,26.333333333333332,1.8339900485610707
ENSMUSG00000065537|Mir132,5.0,19.666666666666668,1.784271308944563
ENSMUSG00000022602|Arc,5844.666666666667,19654.333333333332,1.7494813597084107
ENSMUSG00000117050|1700023B13Rik,5.666666666666667,21.0,1.722466024471091
ENSMUSG00000042861|Kcna10,3.6666666666666665,14.333333333333334,1.716207033999409
ENSMUSG00000072919|Noxred1,17.333333333333332,58.666666666666664,1.7024560637395967
ENSMUSG00000108298|Gm44226,5.333333333333333,19.333333333333332,1.6828098241193006
ENSMUSG00000014782|Plekhg4,31.0,100.33333333333333,1.6629650127224291
ENSMUSG00000067578|Cbln4,589.3333333333334,1867.3333333333333,1.6621501609408746
ENSMUSG00000065590|Mir212,8.333333333333334,28.0,1.635588573791124
ENSMUSG00000089865|Gm44503,148.66666666666666,463.0,1.6323718611075813
ENSMUSG00000114635|Gm49392,9.666666666666666,32.0,1.6293566200796097
ENSMUSG00000118491|Gm44505,4.333333333333333,15.333333333333334,1.6147098441152083
ENSMUSG00000030623|Prss23os,11.0,35.666666666666664,1.6114347120823471
ENSMUSG00000023232|Serinc2,159.0,481.3333333333333,1.591958610923206
ENSMUSG00000032726|Bmp8a,4.333333333333333,15.0,1.584962500721156
ENSMUSG00000104535|Gm42686,6.0,20.0,1.584962500721156
ENSMUSG00000064353|mt-Td,17.333333333333332,53.666666666666664,1.576192291093424
ENSMUSG00000021675|F2rl2,53.0,158.33333333333334,1.561016805096124
ENSMUSG00000023067|Cdkn1a,680.3333333333334,1957.3333333333333,1.5231936554021028
ENSMUSG00000081940|Xlr3e-ps,6.333333333333333,19.666666666666668,1.494764691749578
ENSMUSG00000074824|Rslcan18,17.0,49.666666666666664,1.493040011280117
ENSMUSG00000020793|Galr2,11.333333333333334,33.666666666666664,1.4909863525121423
ENSMUSG00000041324|Inhba,494.3333333333333,1376.6666666666667,1.4757552478359441
ENSMUSG00000003545|Fosb,385.6666666666667,1074.0,1.4751743551830443
ENSMUSG00000042622|Maff,24.333333333333332,69.33333333333333,1.4731716752635995
ENSMUSG00000103409|Lsmem2,6.333333333333333,19.333333333333332,1.471305718925589
ENSMUSG00000030789|Itgax,4.333333333333333,13.666666666666666,1.4594316186372973
ENSMUSG00000035004|Igsf6,18.0,51.0,1.4525122046975067
ENSMUSG00000115378|Gm39653,5.333333333333333,16.333333333333332,1.4525122046975067
ENSMUSG00000026875|Traf1,9.0,26.333333333333332,1.450661409009565
ENSMUSG00000073209|Klf14,12.666666666666666,36.333333333333336,1.4498029174395206
ENSMUSG00000086224|2700069I18Rik,6.333333333333333,19.0,1.4474589769712214
ENSMUSG00000051606|2010001K21Rik,8.333333333333334,24.333333333333332,1.4405725913859813
ENSMUSG00000075707|Dio3,21.0,58.666666666666664,1.4394216579058028
ENSMUSG00000117980|Gm30571,9.333333333333334,27.0,1.438121112391885
ENSMUSG00000085862|Gm13483,4.666666666666667,14.333333333333334,1.4360991148066735
ENSMUSG00000001131|Timp1,18.0,50.333333333333336,1.4338965265301598
ENSMUSG00000112095|Sros1,5.333333333333333,16.0,1.42449782852791
ENSMUSG00000052154|Gm9870,10.666666666666666,30.0,1.409875794163065
ENSMUSG00000117694|Snhg4,104.66666666666667,279.3333333333333,1.4076229601157366
ENSMUSG00000004951|Hspb1,131.33333333333334,349.3333333333333,1.4045517568192205
ENSMUSG00000089760|D030046N08Rik,4.666666666666667,14.0,1.4043902550793352
ENSMUSG00000024014|Pim1,107.66666666666667,284.3333333333333,1.392738832170069
ENSMUSG00000097407|4933408J17Rik,4.333333333333333,13.0,1.3923174227787602
ENSMUSG00000072620|Slfn2,61.666666666666664,162.66666666666666,1.3849903626370557
ENSMUSG00000057836|Xlr3a,116.0,303.3333333333333,1.3791438296796612
