gene_id,ZT6_Ctl1,ZT6_Ctl2,ZT6_Ctl3,ZT6_SD1,ZT6_SD2,ZT6_SD3
ENSMUSG00000026155|Smap1,2135,2919,3414,2297,2825,2238
ENSMUSG00000026156|B3gat2,1498,2109,3021,1975,2416,1660
ENSMUSG00000026147|Col9a1,16,24,34,18,28,8
ENSMUSG00000026153|Fam135a,1395,1488,2423,1080,1408,1112
ENSMUSG00000086240|Gm7846,20,40,42,34,29,24
ENSMUSG00000099492|Gm5525,31,55,102,71,78,62
ENSMUSG00000100261|Gm6473,41,47,43,43,54,54
ENSMUSG00000033569|Adgrb3,3686,4667,6244,3415,4351,3456
ENSMUSG00000102465|Gm38198,10,6,7,0,13,13
ENSMUSG00000102747|Gm37602,6,9,18,2,11,24
ENSMUSG00000102386|2900022M07Rik,2,22,18,14,25,26
ENSMUSG00000104516|Gm9884,17,39,43,7,28,24
ENSMUSG00000048874|Phf3,3118,3445,4554,3589,4581,3633
ENSMUSG00000070960|Gm19680,44,47,82,35,40,35
ENSMUSG00000026064|Ptp4a1,258,56,366,547,186,177
ENSMUSG00000117310|Ptp4a1,1486,2298,3133,1744,3150,2299
ENSMUSG00000100481|Gm7114,19,12,27,13,20,18
ENSMUSG00000042215|Bag2,267,301,480,370,423,258
ENSMUSG00000081402|Gm15455,24,20,16,12,25,21
ENSMUSG00000042197|Zfp451,1907,2048,3186,2079,2775,1997
ENSMUSG00000004768|Rab23,806,980,1378,1085,1303,925
ENSMUSG00000026134|Prim2,191,230,332,294,383,279
ENSMUSG00000103746|1700001G17Rik,10,3,43,15,20,8
ENSMUSG00000026058|Khdrbs2,271,249,480,194,393,243
ENSMUSG00000102865|Gm9839,23,9,33,19,36,15
ENSMUSG00000091318|Semp2l1,31,34,55,34,59,28
ENSMUSG00000102202|Gm33280,9,12,13,11,14,19
ENSMUSG00000045216|Hs6st1,2010,2696,3352,2995,3275,2560
ENSMUSG00000047180|Neurl3,15,41,52,15,40,21
ENSMUSG00000037447|Arid5a,277,234,489,478,590,356
ENSMUSG00000037470|Uggt1,2622,2481,3421,2756,3475,2643
ENSMUSG00000010453|Kansl3,2275,2524,3719,2973,3451,2346
ENSMUSG00000026141|Col19a1,683,507,1011,571,647,469
ENSMUSG00000073725|Lmbrd1,7566,8881,11675,7926,10671,7656
ENSMUSG00000099997|Tubb4b-ps2,30,45,30,32,45,39
ENSMUSG00000100131|Gm28439,48624,72587,101468,46247,87392,65733
ENSMUSG00000067736|Gm10222,13115,17631,24274,14941,22248,15692
ENSMUSG00000101939|Gm28438,8171,13741,18369,9778,16707,11368
ENSMUSG00000101111|Gm28437,95265,145340,187877,135940,174223,112870
ENSMUSG00000100862|Gm10925,117147,178647,240843,131693,211875,146975
ENSMUSG00000102070|Gm28661,92179,130631,171377,113757,153607,107251
ENSMUSG00000101249|Gm29216,74919,100490,126681,95494,125314,80824
ENSMUSG00000037408|Cnnm4,414,401,745,576,619,478
ENSMUSG00000037432|Fer1l5,141,131,230,226,279,208
ENSMUSG00000001143|Lman2l,976,1215,1658,1554,1896,1141
ENSMUSG00000042182|Bend6,5082,6856,8417,6838,7581,5905
ENSMUSG00000026131|Dst,15907,15844,20630,16979,20849,16368
ENSMUSG00000101462|Gm3052,39,41,33,28,41,29
ENSMUSG00000026127|Imp4,685,777,1291,1233,1396,1011
ENSMUSG00000026126|Ptpn18,32,62,64,7,60,54
ENSMUSG00000100280|Gm28417,4,6,19,23,14,7
ENSMUSG00000037509|Arhgef4,6390,7107,10387,9199,9978,7119
ENSMUSG00000037503|Fam168b,11797,13050,17938,14628,16782,12338
ENSMUSG00000026123|Plekhb2,8121,9929,13350,10901,12844,9922
ENSMUSG00000096992|Gm26788,16,8,22,14,11,24
ENSMUSG00000102336|Gm37233,110,141,168,193,147,126
ENSMUSG00000042111|Ccdc115,545,777,848,691,765,448
ENSMUSG00000045174|Amer3,1051,1294,1832,1238,1251,1017
ENSMUSG00000104002|Gm38336,619,897,1123,1277,814,948
ENSMUSG00000104358|Gm37127,27,32,55,12,21,36
ENSMUSG00000050122|Vwa3b,10,53,79,34,22,18
ENSMUSG00000067653|Ankrd23,65,64,128,126,148,103
ENSMUSG00000026121|Sema4c,541,576,888,637,711,529
ENSMUSG00000087589|D430040D24Rik,44,90,68,26,48,37
ENSMUSG00000046337|Fam178b,9,6,7,16,12,10
ENSMUSG00000061518|Cox5b,3364,5061,6934,5705,6475,4565
ENSMUSG00000037351|Actr1b,11138,12897,17808,15344,15095,12168
ENSMUSG00000102416|4933424G06Rik,11,16,29,11,11,12
ENSMUSG00000026117|Zap70,19,26,81,44,87,50
ENSMUSG00000026116|Tmem131,2778,2621,3800,2575,3393,2676
ENSMUSG00000001138|Cnnm3,771,927,1199,891,1064,715
ENSMUSG00000079610|Ankrd39,293,297,504,295,347,230
ENSMUSG00000104237|Gm33533,32,38,38,22,24,13
ENSMUSG00000026113|Inpp4a,5329,6513,7940,6545,7696,5965
ENSMUSG00000026111|Unc50,998,1352,1830,1424,1577,1244
ENSMUSG00000026110|Mgat4a,1409,1678,2129,1630,2103,1584
ENSMUSG00000026112|Coa5,2915,4053,5285,3731,4842,3329
ENSMUSG00000026090|Cracdl,8379,9552,14655,9525,11729,9028
ENSMUSG00000089767|4930556I23Rik,15,21,36,24,19,11
ENSMUSG00000060771|Tsga10,498,616,1061,708,1058,693
ENSMUSG00000037216|Lipt1,174,113,289,168,194,177
ENSMUSG00000026088|Mitd1,161,221,326,196,270,162
ENSMUSG00000097268|Gm26805,63,149,90,76,102,88
ENSMUSG00000026087|Mrpl30,1149,1370,2137,1748,1899,1392
ENSMUSG00000058407|Txndc9,1188,1623,2088,1550,2192,1417
ENSMUSG00000026083|Eif5b,3408,3947,5537,3897,5601,4133
ENSMUSG00000026082|Rev1,663,691,1044,799,907,650
ENSMUSG00000103804|Gm37062,4,21,15,8,12,5
ENSMUSG00000037138|Aff3,1245,1622,1869,1968,2355,1889
ENSMUSG00000048814|Lonrf2,5397,6021,7773,6554,8193,6201
ENSMUSG00000026078|Pdcl3,599,797,903,865,960,725
ENSMUSG00000103046|Gm37309,33,30,68,29,42,11
ENSMUSG00000026080|Chst10,2209,2279,3570,3038,3414,2649
ENSMUSG00000026077|Npas2,1349,1481,2094,1952,2415,1925
ENSMUSG00000073702|Rpl31,3565,5225,7222,6131,7463,4962
ENSMUSG00000003134|Tbc1d8,609,724,988,667,779,650
